,New (Shinjitai),Radical,English meaning,Readings,URLs
0,一,一,one,ひと,"['ANd9GcQpTj_u-Ldv3LV-PGoVFjbPA5vJkrJZd7DeQLEIHTCx0TWNl7RfUdA1b7l3Nic&s', 'ANd9GcRX4x0y_SpTc8-w7AEwANtmnfbKrBjCiWH03tMHsD0U4CAV9FYCMwECF4qaGg&s', 'ANd9GcRUlaOsiw1V9Np_jfKDjxrx9MbcqQDhvJ8WQegpzm_BT84e0J7FZMeYgQ-tBZw&s', 'ANd9GcTOWWAsyE9wN4TxoN5VoJZGyjSxWu6bpmcu622wxROnxWL5d0ExT4F3jaVhfvs&s', 'ANd9GcSHMZ4KEAA77Tje0zNlgUB-0XYQIFrE9qaKJdO8Kc0a3DAMS7hcfOerh3ZExw&s', 'ANd9GcSpKZM4jCpBZi8ILJqrvQbLqqGajuh9DkyHsFUAJEmvLdrPPE-kzMG6fb9MwKw&s', 'ANd9GcR04Onuk3Gi-u1GTzceXqX2nshowzJ3j4caXk-NWNNS0pwnzQolkxYMG4d4IA&s', 'ANd9GcSvBSS8a3s8zIO-9c39j5PJlp5TDm5tyHrgqnf1G8B0x9c-NI52PH0KFTO4brM&s']"
1,右,口,right (direction),みぎ,"['ANd9GcRJG7mL4qOM7MlwL-LdJqlGGwl1sERGQzPABc3hDYorKLH_idXvdhSGoQVbzII&s', 'ANd9GcQN9DEz8SL1EqPPN3cKH_NgKWz5x23xlRzMuf9FOgZXKhhMkhKNlHsnciuRzw&s', 'ANd9GcTsiEWm0TSHtvKRYTXcMyGHEzpW7SOOrfpUnKoyvbpEOkzYCKpqcWzoaMn6uSQ&s', 'ANd9GcS_LL2YdY0A8xWIroInForhwhGv1Io0y_RJrf_acLdc_w39x8QuuaQeqv8RuA&s', 'ANd9GcTRbP0k3loH1CWHRJSQi6AIQf3Rnzidhh-Bkz_MtIKyG-fqxaqJuCFuvj42YA&s', 'ANd9GcTRUGeUTzA98uHzEqfc1KNpQpoSZHlrZrEAzu8SFGtjH2TkSBlxsIQubpPAFnE&s', 'ANd9GcTGLXOjDV-lWbV_gGuvz2eVbTY66aM9anv6IRtME9q294FCBoczbAMq3y8bHw&s', 'ANd9GcQJzHwkDyYwTEL1XJK0l1zMMqP_EuOPZsHkREDE51ACNs-j_B_8fShxEoZrb20&s']"
2,雨,雨,rain,あめ,"['ANd9GcS9rVs_kSBzwtvZxOeyewQdLnvSzYShbqxC31BJS9YaEpUuSe290cVxFMPzaw&s', 'ANd9GcQs1YRNCcXz88yaldPO-3rUMoMYN5L7C7FMKHlfiZiTiHiO5oUEdlIv2VPPbA&s', 'ANd9GcRD1h_UrEZ_gH8iW-nStStGLMqyBbQlOpD4zSbNvs_uNpjVdgYf8cB8ukoFBQ&s', 'ANd9GcRwOdfVuO5GXD8Y_nYoZ1BfIWukMxzNJ3w1hl1o4LG76KTq-CNNVliB5w3Yhw&s', 'ANd9GcScfHQtr9R9eD3FRRgnfxyA_Z9V8-WX0Bk5Pr3wcQGHKcZbir__28HKkn1f-XA&s', 'ANd9GcQIXk2m_M1c_YGIIBf2L8gKbeksH_1_SNL2ENmHHcJLsYr0DNcouhro1pjC3A&s', 'ANd9GcRmt8vJTBxipd7qIAXrlSV9toZogSR-KGdS8mAXRIWz6pGuktvQWdersmQG0Q&s', 'ANd9GcQMLijM-P8gM048HP3oEZpe24OnM715Oi8txawZbufbs1xbo38jHZpy2ayq6Zg&s']"
3,円,囗,"round, yen",まる-い,"['ANd9GcQPOs8Rg0Jl2URyzo1HtecOizdPG2cy-W_flyBGevkc05_bKGOPdmcSDfzyKQ&s', 'ANd9GcQUYxToifMQiiNPpqpXtUWI00KvRiXOuJ5h-oC4lsMwvJIrvgLzCjAssPvnTr4&s', 'ANd9GcSXjESBmdREI5CBYB6bn1ARYOjqv6TRFe0UVg2RWmB-hOntXZhmpc9EGdXO1bc&s', 'ANd9GcTalZqrV2HAZtA6fzIdpumQb4oHMboCk9BlZlmH0_emBxdpU86D3CELMDIHVmg&s', 'ANd9GcTAZSO00ZeQ6EGP0HE28ulTVH3LARpEltyKRcR-pj0lemNsklbUyVgTYwxnNjk&s', 'ANd9GcQSw2xBUOI7IuPPO4imdE70nHIiRLCZPzl1Se9FyE7BBdWTSjYe5ez06KhKgxw&s', 'ANd9GcQ31yDiHnkjF8HjHhtfE0W3OUwxvnpgF8IEZcNzy4j66u8sfVh6Qkov3PZN7X8&s', 'ANd9GcTypN8BRcHGBvar48u0k_sO6uPDylaBSNsl_1cfiVCrhTRMUeD0w4MaPuG7KbI&s']"
4,王,玉,king,オウ,"['ANd9GcREM8189CJU8apC7CqfRyrpWKY5onX8IKQlDfiqrPqdV7rJ4E52CqcHjlkUTw&s', 'ANd9GcQDKh6TN389q2JDgg-3uRrNLn5V7GXvMFD9t-uSAEPBupItSHNa2Jq_Jg8e4IE&s', 'ANd9GcTrnliPmjCH_UQWrXEKGhvFHbcgdVSqtkNiChQte-_uBPrenBwNoe9jUzolLp0&s', 'ANd9GcTia8ZuhLv-k5u2V-QXcjQjNKF7V9ecdF8om5vxd_divMS9-IN4n21Q1egi7A&s', 'ANd9GcS7zp5IoHl7gZjgF5dvxk-GcD0GzxJb-V8H9WJjp_s8-xrtZScE_NU8eFqc2g&s', 'ANd9GcStPMWbFEYVxDwOAviKXYDgMxzL9jclBh6It1dpCiETGAdhgrveOhPx_IIyAQ&s', 'ANd9GcS6ceZgDWy4u3k8YbzOAgPb0gURpSXBZoelzLSxiSIe9rAE7qOMYNpm28g5iEk&s', 'ANd9GcTL7Y5-C5fxk5FXcUAAZk2zMYhvfxn37chRN94gX9q-x0fvJjO9Up1twqKUxg&s']"
5,音,音,sound,おと,"['ANd9GcTun6x6J-oIQ4xCjxe2YNf2gKrpThPIkL077zD5hD3lhQmXGBX1BcAGQyfR_w&s', 'ANd9GcSffHP1Cn4U8CBx9ALXjPTrhaF6Yr3aKC8Kx1heSm8uv9najLddW-SymSUEoPI&s', 'ANd9GcQIIjTddPjB8oaUMlCfNep0lwiVYWsPF03PbEab4J523h9M9uwIe44MyQRBaw&s', 'ANd9GcQFptA3Fb7BFyW8XuU51JBd5fQUzGjc1ZdcAkBWTu9zfOtnYIHjNhu-W-LCOw&s', 'ANd9GcS46pgtdCzEbZSnGuyyQRD7I72tV29J8HoJ-QZt0CGxPL9y9N9cKG2rhEEfhtg&s', 'ANd9GcSUIAasSZ4Yw6AkVvBmctciTk1A1PkcKkRb0zVdmmw9AjW1z_JqfVhkDWEKKw&s', 'ANd9GcQh8j4MNFAauLw1Q5QxbRb2wUKW78Mm_GojY_yR3PLCWHwJ0nlGOuu-TzwiWwg&s', 'ANd9GcTPLu4Xz-ser7WptGyevfCYzhkZWSaFh4emHrgK9LeaKTjmzmMQnDUz8BW7HBI&s']"
6,下,一,below,した,"['ANd9GcSKVtZ-9iQddwfnIBSXDevPsBmkOf_FAE9QeuFg1pA9FYpLnrLKYqbnvIrfMQ&s', 'ANd9GcSrWKsR47EAZuDhzaxDu1WCB2-DoERumU1xmGL0W8MzEg2XXRvYn7uDR1JzmJE&s', 'ANd9GcQXL5ozwrw0g5AKk-blW5nIp5wxGqHhgeUgKoTXgrR9ZWinnOyitlrLfrD7X_E&s', 'ANd9GcSK248vykPFk29RnAGUPq8UPNauVwLXgaSuhqGptaOs8YJnffN5-wELAcR86Q&s', 'ANd9GcSX4w_nKxI9diehdxmdLOkg3m4AkoxKjsDuL7EgK5tm37VV8BfVbxuH_B2_3Q&s', 'ANd9GcTl6lBsbydw5SO42BLY5c8P40BRD2SunvljPQ3GxyqS6mPSHN1BOTLCyVKtPw&s', 'ANd9GcQ_W0B14uGY8vosNWHZpL36Qld98J-X3TfzRegApEPi6Dg6WpiMB0nVVf_MM5U&s', 'ANd9GcS6DBPl_ThUGYWhyvaKN6-94KiFs5Pf94pwHl1ApRJ1p9HdumcLciRU90MC91A&s']"
7,火,火,fire,ひ,"['ANd9GcQQ68Ui4td0xK8l-z32Y6kG-Kivx3mFgNAWclPaxRdQuN1GTkpHHEk5CAWfAw&s', 'ANd9GcSgc3AtEHShk6QfGTVRHG8tt7dJ3MQEWtmn5_AxV-XBl-NFNUTYSRpPguquMic&s', 'ANd9GcQsrkO0c-b6RLVZq2kef4OPdjYOkA6CVkpAevUsIzjFlBMsQu641BV7H6TXjX0&s', 'ANd9GcTnufirt24f1a8s_0goFZeSC2R-IkVobHOiFWH0ErwIyVmbj7-_1jIfEvhD4Q&s', 'ANd9GcTCgeNd85xfOqLgPPOzcGf4MxzMZwqryWWs9j2sI29c-ZqDfLyOYPhe735NWA&s', 'ANd9GcRAGGFqljhVJCimXQXVj7g_De6GN2zfgO-PphrwZF2UenOtgBtjY7bAhRp45A&s', 'ANd9GcTeUa11sg5VUl9CSQiJX98Vp-wGWlMmR_BTmq5AuWuI6SoKB6YIRyon5yIWGgw&s', 'ANd9GcQ-Srcplg-VH8t4nipG7QLROsRl9ssLkpGJbbXkFiB07vUg9tyEWKP5H85ORqg&s']"
8,花,艸,flower,はな,"['ANd9GcS8m3svvMOIlvT8T5Su9idTSZDnckxn0epmZv6sbKL3LjOCgK6mv0EGop-eOZs&s', 'ANd9GcSe3Ba7Wbmu7_YxpWpX9TSIc3Vj0NpHh9RpHyK3uNR08oAtEG_hAY9Nz-StGA&s', 'ANd9GcQwkA4bPdRNSXJ4Ko6kE_7jhX5OU-1B-3nWmegEQ2SCK8b7_vRwZ47PnLfA8T0&s', 'ANd9GcRQroibC3QCUF6812dRgwKrfvfYuMAQNaSLYnoIpV3bAKg9ucNm_R4lPOcB7Ws&s', 'ANd9GcTRQxUv6EzGoPRAZ1FjgarNxAw1KGi5FTKdmJVFFDZRnjCZKxL8zcQ5sCV5BQ&s', 'ANd9GcRNgO63kAJZLBzx-b1IpsYYYazwNoITbJSAMljlEDllwUY_8gR8ihOYdOE8sng&s', 'ANd9GcQqn_fxBrpoEd4z78VbyVlfJwRugceIFJORj2AW2O4uXI7aOyijy6yiZoyK_Vw&s', 'ANd9GcT86T6bycCDrmR6FOqcuQj4TlyGsLuUFqmTSGg_9JWYzhnEtlePhM1it4eBuOw&s']"
9,貝,貝,shellfish,かい,"['ANd9GcQ2d5ukyBNK1eg7q7_KSq8HCiwkWaczDJdTFqf-olajCcHgBz4lOU9HegYlBgg&s', 'ANd9GcQEdNh_x_o0PMMFb7auyYG7sCWn119mlLwVo74gr2PEQrTx1nVBIQlxtGZxAw&s', 'ANd9GcR-WX3NABG2CFjgyI6OHkjIsdY_NG2WYWM8PcFFxHt0LK-lnanzPCEENMKh6w&s', 'ANd9GcQ13KFddInaoLS-FKqh7ziA0Mko4GXIzftYKUPolgHCGW8aALlFRKe_lRperik&s', 'ANd9GcTZWSjC6THW28tvklMPr2kdLto9YwRlH-ziiMtu_v9Y-ykoK4eop8wOIFihS2U&s', 'ANd9GcS_gakJRlFtzZi_T22Pl-8qhqaJgUmV-NO9uA0jCV4DL4f6J24LhcOVp7SGVg&s', 'ANd9GcSRQC9GJnTXh-mdBrHK-beF53GCyxDPANSMxQsx4Pr0ZbB-o5TW_tvcLbv41uw&s', 'ANd9GcSnXpzj3Tc0Fm17IboYXZYGIDkMUuUguXbrTqSWkUQaJHjFBWkxGQFYINHhEbs&s']"
